,area_type,availability,bedrooms,total_sqft,bath,balcony,ranked,price in rupees
0,B,1,3.0,1655.0,3.0,1.0,134,10800000.0
1,B,1,2.0,1102.0,2.0,1.0,134,4800000.0
2,B,0,2.0,1112.0,2.0,1.0,242,8800000.0
3,B,1,3.0,1450.0,3.0,3.0,335,5100000.0
4,B,1,2.0,1010.0,2.0,1.0,261,4100000.0
5,B,1,3.0,1745.0,3.0,2.0,199,11500000.0
6,B,1,2.0,1205.0,2.0,2.0,134,5800000.0
7,B,1,3.0,1575.0,3.0,3.0,349,6800000.0
8,B,0,4.0,1974.0,4.0,0.0,212,10600000.0
9,B,1,3.0,1560.0,3.0,3.0,133,12500000.0
10,B,0,2.0,1033.0,2.0,2.0,171,2841000.0
11,B,1,2.0,1280.0,2.0,0.0,134,8500000.0
12,B,1,3.0,1575.0,3.0,2.0,183,8000000.0
13,B,0,2.0,1420.0,2.0,2.0,78,10700000.0
14,B,0,2.0,700.0,2.0,1.0,335,3507000.0
15,P,1,3.0,850.0,3.0,0.0,339,6300000.0
16,B,1,4.0,2450.0,3.0,2.0,122,11000000.0
17,B,1,3.0,1345.0,2.0,1.0,396,5700000.0
18,B,1,3.0,1490.0,3.0,0.0,242,8500000.0
19,B,1,3.0,1590.0,3.0,3.0,181,4900000.0
20,B,1,2.0,950.0,2.0,1.0,110,5200000.0
21,B,1,3.0,1563.0,2.0,2.0,371,5200000.0
22,B,0,4.0,4235.0,4.0,2.0,78,36500000.0
23,B,1,7.0,1200.0,5.0,2.0,295,20000000.0
24,B,1,3.0,1856.0,3.0,1.0,67,12000000.0
25,B,1,2.0,1307.0,2.0,2.0,411,5160000.0
26,B,1,2.0,1355.0,3.0,3.0,134,7600000.0
27,B,1,3.0,1545.0,3.0,2.0,134,7900000.0
28,B,1,2.0,1100.0,2.0,2.0,397,4000000.0
29,B,0,2.0,1222.0,2.0,2.0,93,9800000.0
30,B,1,3.0,1398.0,3.0,0.0,245,5100000.0
31,B,1,3.0,1450.0,2.0,1.0,237,8500000.0
32,B,1,3.0,2400.0,3.0,2.0,414,1200000.0
33,B,0,1.0,660.0,1.0,1.0,225,5400000.0
34,P,1,6.0,750.0,4.0,1.0,103,15000000.0
35,P,1,4.0,700.0,4.0,2.0,103,12500000.0
36,B,1,2.0,1245.0,2.0,1.0,252,6000000.0
37,B,1,2.0,1230.0,2.0,1.0,234,5700000.0
38,B,0,2.0,1334.0,2.0,1.0,175,6700000.0
39,B,0,2.0,1140.0,2.0,2.0,134,4500000.0
40,B,1,3.0,1445.0,3.0,1.0,171,5000000.0
41,B,1,2.0,1367.0,2.0,0.0,171,8000000.0
42,B,1,3.0,1190.0,3.0,1.0,335,5500000.0
43,B,1,3.0,1330.0,2.0,2.0,447,4400000.0
44,B,0,2.0,1152.0,2.0,1.0,447,6450000.0
45,B,1,2.0,1010.0,2.0,2.0,407,5500000.0
46,B,1,3.0,640.0,3.0,0.0,339,4500000.0
47,B,0,3.0,1185.0,2.0,2.0,493,3022000.0
48,B,1,2.0,1200.0,2.0,0.0,435,5800000.0
49,B,0,2.0,1000.0,2.0,1.0,447,2888000.0
50,B,1,2.0,1090.0,2.0,1.0,183,2724000.0
51,B,1,3.0,1365.0,2.0,1.0,265,7200000.0
52,B,1,2.0,1050.0,2.0,1.0,263,6480000.0
53,B,1,2.0,1000.0,2.0,1.0,122,5800000.0
54,P,1,2.0,1290.0,1.0,0.0,53,22500000.0
55,B,1,2.0,1200.0,2.0,2.0,108,4800000.0
56,B,1,4.0,3596.0,4.0,2.0,214,35900000.0
57,B,1,2.0,1052.0,2.0,2.0,245,5200000.0
58,B,1,2.0,925.0,2.0,3.0,411,3800000.0
59,B,1,4.0,3000.0,4.0,2.0,203,14000000.0
60,B,0,3.0,2023.0,3.0,2.0,64,27500000.0
61,B,1,3.0,1223.0,2.0,1.0,183,4281000.0
62,B,1,2.0,1200.0,2.0,3.0,120,5000000.0
63,B,0,2.0,1100.0,2.0,2.0,289,3868000.0
64,B,0,3.0,1105.0,2.0,1.0,447,3500000.0
65,P,1,3.0,1740.0,3.0,2.0,265,15000000.0
66,B,1,2.0,1070.0,2.0,1.0,447,4800000.0
67,B,1,2.0,1204.0,2.0,2.0,78,4500000.0
68,B,1,2.0,1200.0,2.0,1.0,306,4700000.0
69,P,1,2.0,1840.0,1.0,0.0,435,9500000.0
70,B,1,3.0,1506.0,3.0,1.0,153,9500000.0
71,B,1,2.0,1050.0,2.0,1.0,261,3200000.0
72,B,0,3.0,1213.0,2.0,1.0,445,3636999.9999999995
73,B,1,2.0,1185.0,2.0,2.0,93,4017000.0
74,B,0,2.0,1150.0,2.0,2.0,323,4900000.0
75,B,1,2.0,1150.0,2.0,2.0,407,4500000.0
76,B,1,3.0,1585.0,2.0,3.0,182,8000000.0
77,P,1,3.0,1320.0,2.0,1.0,273,9500000.0
78,B,0,3.0,1370.0,2.0,1.0,233,6100000.0
79,B,1,3.0,1500.0,2.0,0.0,187,7000000.0
80,B,1,2.0,1116.0,2.0,1.0,134,5191000.0
81,B,1,2.0,925.0,2.0,1.0,486,4000000.0
82,B,1,2.0,1200.0,2.0,2.0,128,14000000.0
83,P,1,4.0,4800.0,5.0,2.0,14,42000000.0
84,B,1,2.0,1035.0,2.0,2.0,121,3577000.0000000005
